,order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,mql_id,sr_id,business_segment,lead_type,has_company,business_type,total_order_value,seller_zip_code_prefix,seller_city,seller_state,product_category_name_english,first_contact_date,landing_page_id,origin
138,00526a9d4ebde463baee25f386963ddc,2,0c4a0f8ab44f9acd2d04e7024f9ba362,7210cd29727d674c00741e5e387b3ccd,2018-08-14 22:15:22,33.89,8.4,d4db78e389387c2d6f0b5404cbc61fc5,de63de0d10a6012430098db33c679b0b,car_accessories,online_medium,,reseller,84.58,3279,sao paulo,SP,food,2018-04-02,58326e62183c14b0c03085c33b9fdc44,social
139,00526a9d4ebde463baee25f386963ddc,3,0c4a0f8ab44f9acd2d04e7024f9ba362,7210cd29727d674c00741e5e387b3ccd,2018-08-14 22:15:22,33.89,8.4,d4db78e389387c2d6f0b5404cbc61fc5,de63de0d10a6012430098db33c679b0b,car_accessories,online_medium,,reseller,126.87,3279,sao paulo,SP,food,2018-04-02,58326e62183c14b0c03085c33b9fdc44,social
140,00526a9d4ebde463baee25f386963ddc,4,0c4a0f8ab44f9acd2d04e7024f9ba362,7210cd29727d674c00741e5e387b3ccd,2018-08-14 22:15:22,33.89,8.4,d4db78e389387c2d6f0b5404cbc61fc5,de63de0d10a6012430098db33c679b0b,car_accessories,online_medium,,reseller,169.16,3279,sao paulo,SP,food,2018-04-02,58326e62183c14b0c03085c33b9fdc44,social
158,006127b8b9a1681a982313ed7129c3c0,1,f819f0c84a64f02d3a5606ca95edd272,7d13fca15225358621be4086e1eb0964,2018-03-15 02:30:23,540.0,16.22,0b97be8b4b408a3a0780a32e0a143a7f,9ae085775a198122c5586fa830ff7f2b,watches,online_big,,reseller,556.22,14050,ribeirao preto,SP,watches_gifts,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
222,0094bd07f49fed90209ffa62d1ef26d6,1,d64e758afad411049a45e42c9a259241,5670f4db5b62c43d542e1b2d56b0cf7c,2018-05-09 04:12:53,11.53,7.39,2fdef625a264874c1a4081ca24dd479d,4ef15afb4b2723d8f3d81e51ec7afefe,health_beauty,online_big,,reseller,18.919999999999998,3694,sao paulo,SP,perfumery,2018-03-20,40dec9f3d5259a3d2dbcdab2114fae47,paid_search
229,0097aafe2a01dd54e39888976160c377,1,dfbbf137ccb6af48e66d186a33118579,56e361f411e38dcef17cdc2a3d99628b,2018-08-28 02:35:10,62.0,8.59,48a8b46e7ea342b913b50c7087f78162,4ef15afb4b2723d8f3d81e51ec7afefe,audio_video_electronics,industry,,manufacturer,70.59,7113,guarulhos,SP,computers_accessories,2018-04-17,b76ef37428e6799c421989521c0e5077,organic_search
270,00ae7a8b4936674ebb701d4a23719a79,1,66f09a6de4f2ef63aaf5349b60a0e0c0,bf0d50a6410d487dc97d2baac0a8c0be,2018-05-15 15:51:32,27.9,9.26,fb24fdefb6d2dd80651f6c1a87bc0d7f,2695de1affa7750089c0455f8ce27021,home_decor,online_medium,,manufacturer,37.16,13408,piracicaba,SP,auto,2018-03-20,ce1a65abd0973638f1c887a6efcfa82d,organic_search
276,00b2d2f2b5f7b98e6b1828764660134e,1,e0d64dcfaa3b6db5c54ca298ae101d05,7d13fca15225358621be4086e1eb0964,2018-08-20 08:50:19,146.01,13.68,0b97be8b4b408a3a0780a32e0a143a7f,9ae085775a198122c5586fa830ff7f2b,watches,online_big,,reseller,159.69,14050,ribeirao preto,SP,watches_gifts,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
283,00b4c651133c06fb175123a492f1cac3,1,87ea2f45559e10519513a20b24147316,6a38087bc8ad4f89ff453561005f6dea,2018-08-22 14:27:21,158.9,14.59,99fc32e3c05e03597a692c4fd9a9d162,4ef15afb4b2723d8f3d81e51ec7afefe,computers,online_big,,reseller,173.49,75123,anapolis,GO,computers_accessories,2018-05-11,7fa6214d82e911d070f51ef79381b956,referral
293,00ba57ae98928df6ba6ec9d3d8d4b1b7,1,69455f41626a745aea9ee9164cb9eafd,bce6a5ecf98e99fd2a8868b15c51f04b,2018-07-25 22:20:45,130.0,19.01,6fd8a9e989f62bd98e7d20c2f81b1519,d3d1e91a157ea7f90548eef82f1955e3,watches,online_medium,,reseller,149.01,7180,guarulhos,SP,watches_gifts,2018-04-12,40dec9f3d5259a3d2dbcdab2114fae47,paid_search
335,00cf2b04c59f0ecaf822bf3f334d5c3b,1,101a896b1137f70a7bbb2b9fac61458d,7d13fca15225358621be4086e1eb0964,2018-04-03 09:30:27,320.0,14.68,0b97be8b4b408a3a0780a32e0a143a7f,9ae085775a198122c5586fa830ff7f2b,watches,online_big,,reseller,334.68,14050,ribeirao preto,SP,watches_gifts,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
365,00e365f4fc03d1098841af23d05c17a6,1,b5adf7b72a7eb667aafd446581c35f3f,7d13fca15225358621be4086e1eb0964,2018-08-28 14:51:17,175.0,19.33,0b97be8b4b408a3a0780a32e0a143a7f,9ae085775a198122c5586fa830ff7f2b,watches,online_big,,reseller,194.32999999999998,14050,ribeirao preto,SP,watches_gifts,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
411,00faa6afcde74aaa630e1d2fda2bb0f7,1,e583bb5fa3cb1e876a6ea48f21dfef34,7d7866a99a8656a42c7ff6352a433410,2018-08-09 02:45:18,22.5,18.26,cdd41e8e7e609526df11a959b953cc0d,068066e24f0c643eb1d089c7dd20cd73,household_utilities,offline,,reseller,40.760000000000005,1320,sao paulo,SP,party_supplies,2018-05-10,ce1a65abd0973638f1c887a6efcfa82d,organic_search
483,011c899816ea29773525bd3322dbb6aa,1,53b36df67ebb7c41585e8d54d6772e08,7d13fca15225358621be4086e1eb0964,2018-05-07 05:30:45,99.9,0.0,0b97be8b4b408a3a0780a32e0a143a7f,9ae085775a198122c5586fa830ff7f2b,watches,online_big,,reseller,99.9,14050,ribeirao preto,SP,watches_gifts,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
536,013a98b3a668bcef05b98898177f6923,1,a93ad122024312ca432da7f7b32474b4,8a432f4e5b471f8da497d7dc517666e2,2018-08-13 23:30:11,63.0,23.35,384008daaa0f14b58912d8648101fdd0,c638112b43f1d1b86dcabb0da720c901,bed_bath_table,online_big,,reseller,86.35,19042,presidente prudente,SP,bed_bath_table,2018-02-27,ce1a65abd0973638f1c887a6efcfa82d,organic_search
538,013aa6ba5077072401773f83f1ee6408,1,9ab817d90bc61ed772ffea01b4cdcdb6,db2956745b3a8e9f3785c99f34b5d25e,2018-08-03 11:45:10,159.0,19.21,e84d3444422cda735543114cf5df6b95,de63de0d10a6012430098db33c679b0b,audio_video_electronics,online_medium,,manufacturer,178.21,11600,sao sebastiao,SP,health_beauty,2018-03-13,b76ef37428e6799c421989521c0e5077,unknown
565,014a0793ab3d930d6f3b206cee474af4,1,145978af3e89b318be0b717a0953649a,18e694e0e48ed6f7aa3f24aade5fd697,2018-06-28 23:17:55,19.9,18.24,3461d99a30c72933c66cac4f1c02bd14,d3d1e91a157ea7f90548eef82f1955e3,computers,online_medium,,reseller,38.14,13224,varzea paulista,SP,computers_accessories,2018-03-02,b76ef37428e6799c421989521c0e5077,unknown
620,0170e40334131d971605ae70efb33e4f,1,145978af3e89b318be0b717a0953649a,18e694e0e48ed6f7aa3f24aade5fd697,2018-07-25 04:35:18,19.0,18.23,3461d99a30c72933c66cac4f1c02bd14,d3d1e91a157ea7f90548eef82f1955e3,computers,online_medium,,reseller,37.230000000000004,13224,varzea paulista,SP,computers_accessories,2018-03-02,b76ef37428e6799c421989521c0e5077,unknown
636,01787af385123b93ba50c5f05530ee12,1,e988092a8afe5d9393a5c3a7ca17691c,da7039f29f90ce5b4846ffc0fcc93beb,2018-05-21 17:54:29,49.8,7.39,cbcb32994827a5c4ef1b8a630a4fa66e,4ef15afb4b2723d8f3d81e51ec7afefe,audio_video_electronics,online_medium,,reseller,57.19,9041,santo andre,SP,cine_photo,2018-02-25,22c29808c4f815213303f8933030604c,organic_search
637,01787af385123b93ba50c5f05530ee12,2,e988092a8afe5d9393a5c3a7ca17691c,da7039f29f90ce5b4846ffc0fcc93beb,2018-05-21 17:54:29,49.8,7.39,cbcb32994827a5c4ef1b8a630a4fa66e,4ef15afb4b2723d8f3d81e51ec7afefe,audio_video_electronics,online_medium,,reseller,114.38,9041,santo andre,SP,cine_photo,2018-02-25,22c29808c4f815213303f8933030604c,organic_search
675,0194686a55eb0a869321fb107f4d114a,1,34194988e78bc60417003c8a235b8083,dc64d75cc406bb0697be983831430e60,2018-05-29 02:15:30,195.0,14.49,1c69de363482d0cbc9b6da97cb49757a,85fc447d336637ba1df43e793199fbc8,audio_video_electronics,online_small,,reseller,209.49,31560,belo horizonte,MG,computers_accessories,2018-04-13,22c29808c4f815213303f8933030604c,organic_search
706,01a15ee6a1b9050e7678b72cb4c3b486,1,b0141fc41043ae23a16677f3a7e282b3,65febd49fd28ec955651299159b1f527,2018-06-21 15:31:50,139.99,58.11,39ecc5282d4511dca4c757113e1312d1,d3d1e91a157ea7f90548eef82f1955e3,household_utilities,online_big,,reseller,198.10000000000002,3275,sao paulo,SP,housewares,2018-03-08,f017be4dbf86243af5c1ebed0cff36a2,organic_search
733,01b2dd042de98a15b6a9a141bf71c344,1,b1551ef44e04265b510840b991b24b51,cac876b37d3abcd6bd76caca30277996,2018-03-16 17:10:45,79.9,15.41,30c5ba4650eee4a5550cdfa16fb4f195,d3d1e91a157ea7f90548eef82f1955e3,home_decor,online_big,,reseller,95.31,85816,cascavel,PR,housewares,2018-01-29,22c29808c4f815213303f8933030604c,paid_search
766,01c1644529b18608f086d2ff0f3b8181,1,8b41f2becf919f6177cca1ff15dfd311,ba143b05f0110f0dc71ad71b4466ce92,2018-07-02 05:12:58,103.99,31.6,cfccca319397a5ea2bb11bd90b0d925d,9e4d1098a3b0f5da39b0bc48f9876645,books,online_big,,reseller,135.59,2274,sao paulo,SP,books_technical,2018-04-17,5dc848e7dd9418dffe183215b8ff0bc1,paid_search
788,01cce1175ac3c4a450e3a0f856d02734,1,415dfa57292b8b7360d3f4cf2f9bff06,9c7fd21e0aa159b20da593371f08ff7c,2018-07-25 20:43:14,60.0,25.24,acc0e9c96173c579c90c05de205a2b63,2695de1affa7750089c0455f8ce27021,audio_video_electronics,online_medium,,reseller,85.24,6180,osasco,SP,garden_tools,2018-02-14,b76ef37428e6799c421989521c0e5077,unknown
798,01d2fc3e47376926a97ae795036db093,1,8828464e34fc3da3892f568218e14d61,f46490624488d3ff7ce78613913a7711,2018-07-05 02:53:22,34.0,13.54,98826328c3a60215e53b342560084571,068066e24f0c643eb1d089c7dd20cd73,health_beauty,online_big,,reseller,47.54,7194,guarulhos,SP,health_beauty,2018-04-04,73f31a40697cc90a86c1273563ac230e,other
807,01d90c5856f7551e108f2a0864ff6e54,1,69ae578cb2e84390bb7c44216380ad5e,f46490624488d3ff7ce78613913a7711,2018-07-04 02:55:13,69.9,14.88,98826328c3a60215e53b342560084571,068066e24f0c643eb1d089c7dd20cd73,health_beauty,online_big,,reseller,84.78,7194,guarulhos,SP,health_beauty,2018-04-04,73f31a40697cc90a86c1273563ac230e,other
829,01e662008f03009eb9b97f9333fcd6b4,1,460a66fcc404a3d7306d5f50fcb2d18a,ffc470761de7d0232558ba5e786e57b7,2018-07-03 10:15:12,24.98,12.84,115f08592f4c2bb29013efbbc46608fc,4ef15afb4b2723d8f3d81e51ec7afefe,construction_tools_house_garden,online_big,,reseller,37.82,7091,guarulhos,SP,housewares,2018-01-15,b76ef37428e6799c421989521c0e5077,unknown
839,01eaa000fe5c9f80f535c3d0cad25a47,1,6b7de889f456ee35f031172d358b2cd2,594f9aaa48e5bf431f011ddc5669b0d5,2018-08-17 16:31:27,135.9,16.02,796e2f57fd87b9b44251e692e269f0bf,56bf83c4bb35763a51c2baab501b4c67,bags_backpacks,online_medium,,reseller,151.92000000000002,32185,contagem,MG,stationery,2018-04-03,40dec9f3d5259a3d2dbcdab2114fae47,paid_search
849,01f48b2a27229e667db384b5b9d5dfa4,1,8877966d8f081b2857a5e293d6ecf59e,77a515caa36327151d1cc6c32a9f00e1,2018-05-22 22:55:50,59.9,8.29,bd47dc58209bc820d555f935bf055e40,4ef15afb4b2723d8f3d81e51ec7afefe,stationery,industry,,manufacturer,68.19,9912,diadema,SP,stationery,2018-02-04,0218f6be0b76aca72ab4d00ee9e8cf10,paid_search
865,02014f2495eef0e869616829d481d743,1,43cc8e4d981bc04b9d78b12e8a908d41,6061155addc1e54b4cfb51c1c2a32ad8,2018-08-24 11:05:25,1240.0,102.63,8d6be534a8bdd08e11efe57c6ce3dd21,2695de1affa7750089c0455f8ce27021,pet,online_small,,reseller,1342.63,13043,campinas,SP,health_beauty,2018-04-05,22c29808c4f815213303f8933030604c,organic_search
867,02036bc298ab3c1efc98b116f420d646,1,6d44b2c01b6843eb2e68beddf853dd82,f22a247b79dd22ecd91dc8e3b2a1b07c,2018-08-27 06:45:07,24.99,17.98,3de2f5d6b216073b662a9e202fb4b556,4ef15afb4b2723d8f3d81e51ec7afefe,health_beauty,online_medium,,manufacturer,42.97,8573,itaquaquecetuba,SP,health_beauty,2018-02-23,b76ef37428e6799c421989521c0e5077,unknown
885,020f04b3da1d597b9a00b825762299ba,1,77f217636750a5d2e21017effe0a634d,c092292535a57dacd95a8765f5518f87,2018-07-11 16:31:25,125.0,18.98,c92c413cead7d8b67a89850ba352e1d1,6565aa9ce3178a5caf6171827af3a9ba,construction_tools_house_garden,online_medium,,reseller,143.98,26600,paracambi,RJ,toys,2018-03-26,22c29808c4f815213303f8933030604c,display
1117,029b1d3a355dec12cfed60927f076a9d,1,2dd91cf063cf57cb0eebef072746daab,c70c1b0d8ca86052f45a432a38b73958,2018-07-23 17:25:19,110.32,15.87,7b6ad2297d3beb569ddf3ee1ce22ffa8,060c0a26f19f4d66b42e0d8796688490,health_beauty,online_medium,,reseller,126.19,13186,hortolandia,SP,health_beauty,2018-03-13,22c29808c4f815213303f8933030604c,paid_search
1118,029b1d3a355dec12cfed60927f076a9d,2,2dd91cf063cf57cb0eebef072746daab,c70c1b0d8ca86052f45a432a38b73958,2018-07-23 17:25:19,110.32,15.87,7b6ad2297d3beb569ddf3ee1ce22ffa8,060c0a26f19f4d66b42e0d8796688490,health_beauty,online_medium,,reseller,252.38,13186,hortolandia,SP,health_beauty,2018-03-13,22c29808c4f815213303f8933030604c,paid_search
1119,029b2daf51dda061aeb1cf32c9306db7,1,eb6913790ee61d3d4d8dffcbbedea827,382229d1e840115ffe3dbf5ff460e417,2018-08-08 16:35:20,29.9,18.31,2dfbe1c802c78a8b1f75ef13b70c1124,495d4e95a8cf8bbf8b432b612a2aa328,household_utilities,online_big,,reseller,48.209999999999994,23092,rio de janeiro,RJ,pet_shop,2018-03-22,22c29808c4f815213303f8933030604c,organic_search
1201,02c9fa29186a8d00b3e73d3837ea40e5,2,caa526308abc9a77d0c56869139dbae9,6061155addc1e54b4cfb51c1c2a32ad8,2018-08-21 19:09:45,19.0,18.25,8d6be534a8bdd08e11efe57c6ce3dd21,2695de1affa7750089c0455f8ce27021,pet,online_small,,reseller,74.5,13043,campinas,SP,pet_shop,2018-04-05,22c29808c4f815213303f8933030604c,organic_search
1205,02cb7027f3074adf1407706d712298f7,1,6b7de889f456ee35f031172d358b2cd2,594f9aaa48e5bf431f011ddc5669b0d5,2018-08-09 19:45:18,135.9,23.67,796e2f57fd87b9b44251e692e269f0bf,56bf83c4bb35763a51c2baab501b4c67,bags_backpacks,online_medium,,reseller,159.57,32185,contagem,MG,stationery,2018-04-03,40dec9f3d5259a3d2dbcdab2114fae47,paid_search
1264,02ed129a369c56d40549270ac5900864,1,e7d5464b94c9a5963f7c686fc80145ad,58f1a6197ed863543e0136bdedb3fce2,2018-07-08 21:50:22,139.0,14.31,081c243a74472af67b65145cff5221c7,c638112b43f1d1b86dcabb0da720c901,fashion_accessories,online_medium,,reseller,153.31,36407,conselheiro lafaiete,MG,watches_gifts,2018-02-21,40dec9f3d5259a3d2dbcdab2114fae47,paid_search
1380,03368cf33950e57f7da415d43f792e0d,1,3138a5168026c06238f332528ec8e0ee,ffad1e7127fb622cb64a900751590acd,2018-07-03 03:31:47,102.5,23.52,ab65e1a4d850fa15d38469a1ad02ce90,9ae085775a198122c5586fa830ff7f2b,home_decor,online_medium,,manufacturer,126.02,13465,americana,SP,furniture_decor,2018-02-01,22c29808c4f815213303f8933030604c,organic_search
1421,03481652329171ff571df2c58bae0167,1,6722735e7b6ea43bbd86b1c9074c3057,2cb98e27ce1c18abdb42209b34c382a7,2018-06-25 14:57:18,62.49,57.21,384b5bdbe32117213b87f8f5e0604be4,9ae085775a198122c5586fa830ff7f2b,car_accessories,online_beginner,,reseller,119.7,14085,ribeirao preto,SP,auto,2018-02-22,b76ef37428e6799c421989521c0e5077,unknown
1437,034fe9142b806fe19c1cbc1c752ab08d,1,20fb650ad1615624d7e202031400f695,ba143b05f0110f0dc71ad71b4466ce92,2018-05-04 14:55:20,37.5,16.32,cfccca319397a5ea2bb11bd90b0d925d,9e4d1098a3b0f5da39b0bc48f9876645,books,online_big,,reseller,53.82,2274,sao paulo,SP,books_technical,2018-04-17,5dc848e7dd9418dffe183215b8ff0bc1,paid_search
1489,036c6f5c3d6a81192f4896ddb2c00c83,1,25ce1fd278819fb92db46f69fdbc5eb6,6bd503a8230299c9316fb0f726933927,2018-07-30 04:25:21,53.8,22.31,abcbe3ee8523b90b416337f0abd94a53,068066e24f0c643eb1d089c7dd20cd73,health_beauty,online_big,,reseller,76.11,75650,morrinhos,GO,perfumery,2018-02-10,40dec9f3d5259a3d2dbcdab2114fae47,paid_search
1505,03720fdc92032ee4abd471d172006ab0,1,dd2ca29c9d0f93d3b1d28d7d7ee3025c,5b0cc932433fa5184b5b94bfe6bcc256,2018-08-09 21:45:17,99.0,44.49,e9631bea70bc3ae4018bff0eac2c0986,a8387c01a09e99ce014107505b92388c,home_decor,online_medium,,manufacturer,143.49,14940,ibitinga,SP,furniture_living_room,2018-05-03,ca2cd580bff13775c778f128c7db2b41,social
1520,037ce5266460af220f19d497b130e737,1,f1bad58626618e14b6b25b096acee146,c70c1b0d8ca86052f45a432a38b73958,2018-08-02 09:44:21,110.32,8.03,7b6ad2297d3beb569ddf3ee1ce22ffa8,060c0a26f19f4d66b42e0d8796688490,health_beauty,online_medium,,reseller,118.35,13186,hortolandia,SP,health_beauty,2018-03-13,22c29808c4f815213303f8933030604c,paid_search
1526,037f4f91c8f5cd2a6ddd52a63d97fdcc,1,46b769809b6fb1728843192da1732171,d566c37fa119d5e66c4e9052e83ee4ea,2018-07-22 21:15:21,36.9,12.92,186f0892f13de5443c0b6d042a6ddde0,495d4e95a8cf8bbf8b432b612a2aa328,sports_leisure,online_big,,reseller,49.82,4131,sao paulo,SP,sports_leisure,2018-01-26,a7982125ff7aa3b2054c6e44f9d28522,organic_search
1527,037f4f91c8f5cd2a6ddd52a63d97fdcc,2,46b769809b6fb1728843192da1732171,d566c37fa119d5e66c4e9052e83ee4ea,2018-07-22 21:15:21,36.9,12.92,186f0892f13de5443c0b6d042a6ddde0,495d4e95a8cf8bbf8b432b612a2aa328,sports_leisure,online_big,,reseller,99.64,4131,sao paulo,SP,sports_leisure,2018-01-26,a7982125ff7aa3b2054c6e44f9d28522,organic_search
1541,038862523957395d9316afa8b8b70976,1,6fd98945d378fd5d76031095b1ba6523,b16d3dadc47d4eb18be3d88bad0775ce,2018-06-06 03:30:57,189.0,8.51,a562fd35af2738ce6d88f785ef4eb134,fbf4aef3f6915dc0c3c97d6812522f6a,sports_leisure,online_medium,,manufacturer,197.51,93608,estancia velha,RS,health_beauty,2018-03-13,40dec9f3d5259a3d2dbcdab2114fae47,paid_search
1564,039df018e03e7c5db83bace2fa6af002,1,82c51c3938503a4ddc096fbed86428d6,cfe94489ddd337d1e29e12f2a7205d10,2018-05-23 04:31:12,99.0,8.46,7ac6d80c42fdb4020030b1cb9ed708f5,9ae085775a198122c5586fa830ff7f2b,construction_tools_house_garden,online_medium,,reseller,107.46000000000001,3178,sao paulo,SP,construction_tools_safety,2018-01-09,b76ef37428e6799c421989521c0e5077,unknown
1585,03a54d3b0f15ac01bad656997420d3bb,1,264afa6d3b31bde30f0f2693c84795d9,516e7738bd8f735ac19a010ee5450d8d,2018-06-05 02:31:53,65.0,16.42,e0bcbf50b9afa71ee130b94dfe8bcf2e,495d4e95a8cf8bbf8b432b612a2aa328,health_beauty,online_small,,reseller,81.42,22230,rio de janeiro,RJ,health_beauty,2018-05-02,1ceb590cd1e00c7ee95220971f82693d,paid_search
1587,03a77816f8b67ef237ecca2c772c4851,1,0657f64d203d600602279807d6cb1dd8,4f0d637c1197fd65405ebd755ac9f86b,2018-06-11 04:30:57,89.9,19.6,0d8b45d95dc4bd9712dc67f87db79a8e,de63de0d10a6012430098db33c679b0b,health_beauty,online_medium,,reseller,109.5,6768,taboao da serra,SP,health_beauty,2018-02-28,b6885f18d203a61176418c1fb3764815,paid_search
1607,03b31f549c27d03bed25fc42ddb46138,1,0433830caca22b01a0f477d31307b043,ba90964cff9b9e0e6f32b23b82465f7b,2018-06-14 10:30:51,1999.0,46.47,8257329475414b1eaf3dc731440e01a7,c638112b43f1d1b86dcabb0da720c901,small_appliances,,,reseller,2045.47,7140,guarulhos,SP,small_appliances_home_oven_and_coffee,2018-01-30,22c29808c4f815213303f8933030604c,organic_search
1613,03b70c61372aebf257ccfacc6ca0aa58,1,ff92ca9bb0b3f4ec00a9b76c9f68cb3a,ba90964cff9b9e0e6f32b23b82465f7b,2018-05-17 16:13:47,858.9,17.92,8257329475414b1eaf3dc731440e01a7,c638112b43f1d1b86dcabb0da720c901,small_appliances,,,reseller,876.8199999999999,7140,guarulhos,SP,small_appliances_home_oven_and_coffee,2018-01-30,22c29808c4f815213303f8933030604c,organic_search
1630,03be2f620301ed720f761e04f00270d4,1,e0d64dcfaa3b6db5c54ca298ae101d05,7d13fca15225358621be4086e1eb0964,2018-06-15 12:35:12,144.0,14.37,0b97be8b4b408a3a0780a32e0a143a7f,9ae085775a198122c5586fa830ff7f2b,watches,online_big,,reseller,158.37,14050,ribeirao preto,SP,watches_gifts,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
1631,03bf6a245a6dfdc3cea6bb75ae4fa3d7,1,13db47eae724e2848e12b71a617a3a41,7d13fca15225358621be4086e1eb0964,2018-03-23 11:30:57,467.0,21.15,0b97be8b4b408a3a0780a32e0a143a7f,9ae085775a198122c5586fa830ff7f2b,watches,online_big,,reseller,488.15,14050,ribeirao preto,SP,audio,2018-01-22,b76ef37428e6799c421989521c0e5077,unknown
1669,03d6e874e44c091359a3ad62f2bec233,1,173e9fe34bfe97f3a5e6dc57fe897b74,ba143b05f0110f0dc71ad71b4466ce92,2018-05-10 03:12:07,57.49,11.15,cfccca319397a5ea2bb11bd90b0d925d,9e4d1098a3b0f5da39b0bc48f9876645,books,online_big,,reseller,68.64,2274,sao paulo,SP,books_technical,2018-04-17,5dc848e7dd9418dffe183215b8ff0bc1,paid_search
1690,03dffd456132253d009d20fc4a228c9b,1,3ecb405a579723d0b1b5161dd32daf28,b64d51f0435e884e8de603b1655155ae,2018-07-25 11:23:31,12.99,7.39,d1d35acfd20d413bbda1eae8e208f0b5,9ae085775a198122c5586fa830ff7f2b,household_utilities,online_medium,,reseller,20.38,7077,garulhos,SP,housewares,2018-02-07,36120633c8737035fbabf079082f4ec1,paid_search
